"Title","LFS: Economic activity rate: UK: All: All aged 16 and over: %: SA"
"CDID","MGWG"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","%"
"Release date","17-05-2022"
"Next release","14 June 2022"
"Important notes",
"1971","63.0"
"1972","63.0"
"1973","63.3"
"1974","63.2"
"1975","63.2"
"1976","63.1"
"1977","62.9"
"1978","62.8"
"1979","62.8"
"1980","63.0"
"1981","62.8"
"1982","62.0"
"1983","61.7"
"1984","62.9"
"1985","63.0"
"1986","63.1"
"1987","63.4"
"1988","63.9"
"1989","64.4"
"1990","64.5"
"1991","63.8"
"1992","63.0"
"1993","62.7"
"1994","62.5"
"1995","62.5"
"1996","62.5"
"1997","62.6"
"1998","62.5"
"1999","62.9"
"2000","63.0"
"2001","62.8"
"2002","63.0"
"2003","63.0"
"2004","63.0"
"2005","63.2"
"2006","63.6"
"2007","63.5"
"2008","63.7"
"2009","63.4"
"2010","63.2"
"2011","63.1"
"2012","63.3"
"2013","63.4"
"2014","63.4"
"2015","63.5"
"2016","63.6"
"2017","63.5"
"2018","63.8"
"2019","64.0"
"2020","63.7"
"2021","63.3"
"1971 Q1","63.2"
"1971 Q2","63.1"
"1971 Q3","62.9"
"1971 Q4","62.8"
"1972 Q1","63.0"
"1972 Q2","63.0"
"1972 Q3","63.0"
"1972 Q4","63.1"
"1973 Q1","63.4"
"1973 Q2","63.4"
"1973 Q3","63.2"
"1973 Q4","63.2"
"1974 Q1","63.1"
"1974 Q2","63.2"
"1974 Q3","63.3"
"1974 Q4","63.3"
"1975 Q1","63.2"
"1975 Q2","63.2"
"1975 Q3","63.3"
"1975 Q4","63.3"
"1976 Q1","63.2"
"1976 Q2","63.2"
"1976 Q3","63.1"
"1976 Q4","63.0"
"1977 Q1","63.0"
"1977 Q2","62.9"
"1977 Q3","62.9"
"1977 Q4","62.8"
"1978 Q1","62.8"
"1978 Q2","62.7"
"1978 Q3","62.7"
"1978 Q4","62.8"
"1979 Q1","62.8"
"1979 Q2","62.7"
"1979 Q3","62.8"
"1979 Q4","62.9"
"1980 Q1","62.9"
"1980 Q2","63.0"
"1980 Q3","63.0"
"1980 Q4","63.1"
"1981 Q1","63.0"
"1981 Q2","63.0"
"1981 Q3","62.8"
"1981 Q4","62.5"
"1982 Q1","62.4"
"1982 Q2","62.2"
"1982 Q3","61.9"
"1982 Q4","61.6"
"1983 Q1","61.4"
"1983 Q2","61.4"
"1983 Q3","61.8"
"1983 Q4","62.3"
"1984 Q1","62.7"
"1984 Q2","62.9"
"1984 Q3","63.0"
"1984 Q4","63.0"
"1985 Q1","63.0"
"1985 Q2","63.0"
"1985 Q3","63.0"
"1985 Q4","63.0"
"1986 Q1","63.0"
"1986 Q2","63.0"
"1986 Q3","63.1"
"1986 Q4","63.2"
"1987 Q1","63.2"
"1987 Q2","63.3"
"1987 Q3","63.5"
"1987 Q4","63.6"
"1988 Q1","63.7"
"1988 Q2","63.8"
"1988 Q3","63.9"
"1988 Q4","64.1"
"1989 Q1","64.3"
"1989 Q2","64.4"
"1989 Q3","64.4"
"1989 Q4","64.5"
"1990 Q1","64.5"
"1990 Q2","64.5"
"1990 Q3","64.5"
"1990 Q4","64.4"
"1991 Q1","64.2"
"1991 Q2","64.0"
"1991 Q3","63.7"
"1991 Q4","63.4"
"1992 Q1","63.3"
"1992 Q2","63.1"
"1992 Q3","62.9"
"1992 Q4","62.8"
"1993 Q1","62.8"
"1993 Q2","62.7"
"1993 Q3","62.6"
"1993 Q4","62.6"
"1994 Q1","62.6"
"1994 Q2","62.5"
"1994 Q3","62.5"
"1994 Q4","62.3"
"1995 Q1","62.4"
"1995 Q2","62.4"
"1995 Q3","62.6"
"1995 Q4","62.6"
"1996 Q1","62.4"
"1996 Q2","62.5"
"1996 Q3","62.4"
"1996 Q4","62.6"
"1997 Q1","62.6"
"1997 Q2","62.8"
"1997 Q3","62.6"
"1997 Q4","62.5"
"1998 Q1","62.4"
"1998 Q2","62.4"
"1998 Q3","62.6"
"1998 Q4","62.7"
"1999 Q1","62.8"
"1999 Q2","62.8"
"1999 Q3","62.9"
"1999 Q4","63.0"
"2000 Q1","63.0"
"2000 Q2","63.0"
"2000 Q3","63.0"
"2000 Q4","62.8"
"2001 Q1","62.7"
"2001 Q2","62.8"
"2001 Q3","62.7"
"2001 Q4","62.9"
"2002 Q1","62.8"
"2002 Q2","63.0"
"2002 Q3","63.0"
"2002 Q4","63.1"
"2003 Q1","63.0"
"2003 Q2","63.0"
"2003 Q3","63.1"
"2003 Q4","63.0"
"2004 Q1","63.1"
"2004 Q2","63.0"
"2004 Q3","62.9"
"2004 Q4","63.1"
"2005 Q1","63.2"
"2005 Q2","63.1"
"2005 Q3","63.2"
"2005 Q4","63.2"
"2006 Q1","63.5"
"2006 Q2","63.7"
"2006 Q3","63.7"
"2006 Q4","63.6"
"2007 Q1","63.4"
"2007 Q2","63.4"
"2007 Q3","63.5"
"2007 Q4","63.5"
"2008 Q1","63.6"
"2008 Q2","63.7"
"2008 Q3","63.6"
"2008 Q4","63.7"
"2009 Q1","63.7"
"2009 Q2","63.4"
"2009 Q3","63.3"
"2009 Q4","63.2"
"2010 Q1","63.0"
"2010 Q2","63.2"
"2010 Q3","63.4"
"2010 Q4","63.2"
"2011 Q1","63.2"
"2011 Q2","63.2"
"2011 Q3","63.0"
"2011 Q4","63.1"
"2012 Q1","63.1"
"2012 Q2","63.3"
"2012 Q3","63.3"
"2012 Q4","63.5"
"2013 Q1","63.3"
"2013 Q2","63.3"
"2013 Q3","63.5"
"2013 Q4","63.5"
"2014 Q1","63.5"
"2014 Q2","63.5"
"2014 Q3","63.4"
"2014 Q4","63.3"
"2015 Q1","63.5"
"2015 Q2","63.3"
"2015 Q3","63.5"
"2015 Q4","63.6"
"2016 Q1","63.5"
"2016 Q2","63.7"
"2016 Q3","63.7"
"2016 Q4","63.6"
"2017 Q1","63.6"
"2017 Q2","63.6"
"2017 Q3","63.4"
"2017 Q4","63.6"
"2018 Q1","63.8"
"2018 Q2","63.7"
"2018 Q3","63.7"
"2018 Q4","63.9"
"2019 Q1","63.9"
"2019 Q2","64.1"
"2019 Q3","63.8"
"2019 Q4","64.1"
"2020 Q1","64.3"
"2020 Q2","63.6"
"2020 Q3","63.5"
"2020 Q4","63.4"
"2021 Q1","63.2"
"2021 Q2","63.3"
"2021 Q3","63.4"
"2021 Q4","63.2"
"2022 Q1","63.1"
"1971 FEB","63.2"
"1971 MAR","63.1"
"1971 APR","63.1"
"1971 MAY","63.1"
"1971 JUN","63.1"
"1971 JUL","63.0"
"1971 AUG","62.9"
"1971 SEP","62.8"
"1971 OCT","62.8"
"1971 NOV","62.8"
"1971 DEC","62.8"
"1972 JAN","62.9"
"1972 FEB","63.0"
"1972 MAR","63.1"
"1972 APR","63.1"
"1972 MAY","63.0"
"1972 JUN","63.0"
"1972 JUL","63.0"
"1972 AUG","63.0"
"1972 SEP","63.0"
"1972 OCT","63.0"
"1972 NOV","63.1"
"1972 DEC","63.2"
"1973 JAN","63.3"
"1973 FEB","63.4"
"1973 MAR","63.5"
"1973 APR","63.5"
"1973 MAY","63.4"
"1973 JUN","63.4"
"1973 JUL","63.3"
"1973 AUG","63.2"
"1973 SEP","63.2"
"1973 OCT","63.2"
"1973 NOV","63.2"
"1973 DEC","63.1"
"1974 JAN","63.1"
"1974 FEB","63.1"
"1974 MAR","63.1"
"1974 APR","63.1"
"1974 MAY","63.2"
"1974 JUN","63.2"
"1974 JUL","63.3"
"1974 AUG","63.3"
"1974 SEP","63.3"
"1974 OCT","63.3"
"1974 NOV","63.3"
"1974 DEC","63.2"
"1975 JAN","63.2"
"1975 FEB","63.2"
"1975 MAR","63.2"
"1975 APR","63.2"
"1975 MAY","63.2"
"1975 JUN","63.3"
"1975 JUL","63.3"
"1975 AUG","63.3"
"1975 SEP","63.3"
"1975 OCT","63.3"
"1975 NOV","63.3"
"1975 DEC","63.3"
"1976 JAN","63.3"
"1976 FEB","63.2"
"1976 MAR","63.2"
"1976 APR","63.2"
"1976 MAY","63.2"
"1976 JUN","63.1"
"1976 JUL","63.1"
"1976 AUG","63.1"
"1976 SEP","63.1"
"1976 OCT","63.0"
"1976 NOV","63.0"
"1976 DEC","63.0"
"1977 JAN","63.0"
"1977 FEB","63.0"
"1977 MAR","62.9"
"1977 APR","62.9"
"1977 MAY","62.9"
"1977 JUN","62.9"
"1977 JUL","62.9"
"1977 AUG","62.9"
"1977 SEP","62.9"
"1977 OCT","62.9"
"1977 NOV","62.8"
"1977 DEC","62.8"
"1978 JAN","62.8"
"1978 FEB","62.8"
"1978 MAR","62.7"
"1978 APR","62.7"
"1978 MAY","62.7"
"1978 JUN","62.7"
"1978 JUL","62.7"
"1978 AUG","62.7"
"1978 SEP","62.7"
"1978 OCT","62.7"
"1978 NOV","62.8"
"1978 DEC","62.8"
"1979 JAN","62.8"
"1979 FEB","62.8"
"1979 MAR","62.7"
"1979 APR","62.7"
"1979 MAY","62.7"
"1979 JUN","62.8"
"1979 JUL","62.8"
"1979 AUG","62.8"
"1979 SEP","62.9"
"1979 OCT","62.9"
"1979 NOV","62.9"
"1979 DEC","62.9"
"1980 JAN","62.9"
"1980 FEB","62.9"
"1980 MAR","62.9"
"1980 APR","63.0"
"1980 MAY","63.0"
"1980 JUN","63.0"
"1980 JUL","63.0"
"1980 AUG","63.0"
"1980 SEP","63.0"
"1980 OCT","63.0"
"1980 NOV","63.1"
"1980 DEC","63.0"
"1981 JAN","63.0"
"1981 FEB","63.0"
"1981 MAR","63.0"
"1981 APR","63.0"
"1981 MAY","63.0"
"1981 JUN","62.9"
"1981 JUL","62.8"
"1981 AUG","62.8"
"1981 SEP","62.7"
"1981 OCT","62.6"
"1981 NOV","62.5"
"1981 DEC","62.5"
"1982 JAN","62.4"
"1982 FEB","62.4"
"1982 MAR","62.3"
"1982 APR","62.2"
"1982 MAY","62.2"
"1982 JUN","62.1"
"1982 JUL","62.0"
"1982 AUG","61.9"
"1982 SEP","61.8"
"1982 OCT","61.7"
"1982 NOV","61.6"
"1982 DEC","61.6"
"1983 JAN","61.5"
"1983 FEB","61.4"
"1983 MAR","61.4"
"1983 APR","61.4"
"1983 MAY","61.4"
"1983 JUN","61.5"
"1983 JUL","61.7"
"1983 AUG","61.8"
"1983 SEP","62.0"
"1983 OCT","62.2"
"1983 NOV","62.3"
"1983 DEC","62.4"
"1984 JAN","62.6"
"1984 FEB","62.7"
"1984 MAR","62.8"
"1984 APR","62.9"
"1984 MAY","62.9"
"1984 JUN","62.9"
"1984 JUL","62.9"
"1984 AUG","63.0"
"1984 SEP","63.0"
"1984 OCT","63.0"
"1984 NOV","63.0"
"1984 DEC","63.1"
"1985 JAN","63.0"
"1985 FEB","63.0"
"1985 MAR","63.0"
"1985 APR","63.0"
"1985 MAY","63.0"
"1985 JUN","63.0"
"1985 JUL","63.0"
"1985 AUG","63.0"
"1985 SEP","63.0"
"1985 OCT","63.0"
"1985 NOV","63.0"
"1985 DEC","63.0"
"1986 JAN","63.0"
"1986 FEB","63.0"
"1986 MAR","63.0"
"1986 APR","63.0"
"1986 MAY","63.0"
"1986 JUN","63.0"
"1986 JUL","63.1"
"1986 AUG","63.1"
"1986 SEP","63.1"
"1986 OCT","63.2"
"1986 NOV","63.2"
"1986 DEC","63.2"
"1987 JAN","63.2"
"1987 FEB","63.2"
"1987 MAR","63.2"
"1987 APR","63.2"
"1987 MAY","63.3"
"1987 JUN","63.3"
"1987 JUL","63.4"
"1987 AUG","63.5"
"1987 SEP","63.5"
"1987 OCT","63.5"
"1987 NOV","63.6"
"1987 DEC","63.7"
"1988 JAN","63.7"
"1988 FEB","63.7"
"1988 MAR","63.8"
"1988 APR","63.8"
"1988 MAY","63.8"
"1988 JUN","63.8"
"1988 JUL","63.9"
"1988 AUG","63.9"
"1988 SEP","64.0"
"1988 OCT","64.1"
"1988 NOV","64.1"
"1988 DEC","64.2"
"1989 JAN","64.3"
"1989 FEB","64.3"
"1989 MAR","64.4"
"1989 APR","64.4"
"1989 MAY","64.4"
"1989 JUN","64.4"
"1989 JUL","64.4"
"1989 AUG","64.4"
"1989 SEP","64.4"
"1989 OCT","64.5"
"1989 NOV","64.5"
"1989 DEC","64.5"
"1990 JAN","64.5"
"1990 FEB","64.5"
"1990 MAR","64.5"
"1990 APR","64.5"
"1990 MAY","64.5"
"1990 JUN","64.5"
"1990 JUL","64.5"
"1990 AUG","64.5"
"1990 SEP","64.5"
"1990 OCT","64.4"
"1990 NOV","64.4"
"1990 DEC","64.3"
"1991 JAN","64.3"
"1991 FEB","64.2"
"1991 MAR","64.2"
"1991 APR","64.1"
"1991 MAY","64.0"
"1991 JUN","63.9"
"1991 JUL","63.8"
"1991 AUG","63.7"
"1991 SEP","63.6"
"1991 OCT","63.5"
"1991 NOV","63.4"
"1991 DEC","63.3"
"1992 JAN","63.3"
"1992 FEB","63.3"
"1992 MAR","63.3"
"1992 APR","63.2"
"1992 MAY","63.1"
"1992 JUN","63.0"
"1992 JUL","63.0"
"1992 AUG","62.9"
"1992 SEP","62.9"
"1992 OCT","62.9"
"1992 NOV","62.8"
"1992 DEC","62.8"
"1993 JAN","62.9"
"1993 FEB","62.8"
"1993 MAR","62.7"
"1993 APR","62.7"
"1993 MAY","62.7"
"1993 JUN","62.7"
"1993 JUL","62.6"
"1993 AUG","62.6"
"1993 SEP","62.6"
"1993 OCT","62.6"
"1993 NOV","62.6"
"1993 DEC","62.6"
"1994 JAN","62.6"
"1994 FEB","62.6"
"1994 MAR","62.6"
"1994 APR","62.6"
"1994 MAY","62.5"
"1994 JUN","62.6"
"1994 JUL","62.6"
"1994 AUG","62.5"
"1994 SEP","62.4"
"1994 OCT","62.4"
"1994 NOV","62.3"
"1994 DEC","62.2"
"1995 JAN","62.3"
"1995 FEB","62.4"
"1995 MAR","62.4"
"1995 APR","62.4"
"1995 MAY","62.4"
"1995 JUN","62.5"
"1995 JUL","62.5"
"1995 AUG","62.6"
"1995 SEP","62.5"
"1995 OCT","62.5"
"1995 NOV","62.6"
"1995 DEC","62.6"
"1996 JAN","62.5"
"1996 FEB","62.4"
"1996 MAR","62.5"
"1996 APR","62.5"
"1996 MAY","62.5"
"1996 JUN","62.4"
"1996 JUL","62.5"
"1996 AUG","62.4"
"1996 SEP","62.6"
"1996 OCT","62.6"
"1996 NOV","62.6"
"1996 DEC","62.6"
"1997 JAN","62.6"
"1997 FEB","62.6"
"1997 MAR","62.6"
"1997 APR","62.6"
"1997 MAY","62.8"
"1997 JUN","62.8"
"1997 JUL","62.6"
"1997 AUG","62.6"
"1997 SEP","62.6"
"1997 OCT","62.5"
"1997 NOV","62.5"
"1997 DEC","62.4"
"1998 JAN","62.4"
"1998 FEB","62.4"
"1998 MAR","62.4"
"1998 APR","62.4"
"1998 MAY","62.4"
"1998 JUN","62.5"
"1998 JUL","62.6"
"1998 AUG","62.6"
"1998 SEP","62.6"
"1998 OCT","62.7"
"1998 NOV","62.7"
"1998 DEC","62.8"
"1999 JAN","62.9"
"1999 FEB","62.8"
"1999 MAR","62.8"
"1999 APR","62.8"
"1999 MAY","62.8"
"1999 JUN","62.8"
"1999 JUL","62.8"
"1999 AUG","62.9"
"1999 SEP","62.8"
"1999 OCT","63.0"
"1999 NOV","63.0"
"1999 DEC","63.0"
"2000 JAN","62.9"
"2000 FEB","63.0"
"2000 MAR","63.0"
"2000 APR","63.0"
"2000 MAY","63.0"
"2000 JUN","63.0"
"2000 JUL","63.0"
"2000 AUG","63.0"
"2000 SEP","62.9"
"2000 OCT","62.8"
"2000 NOV","62.8"
"2000 DEC","62.9"
"2001 JAN","62.8"
"2001 FEB","62.7"
"2001 MAR","62.7"
"2001 APR","62.7"
"2001 MAY","62.8"
"2001 JUN","62.7"
"2001 JUL","62.8"
"2001 AUG","62.7"
"2001 SEP","62.8"
"2001 OCT","62.8"
"2001 NOV","62.9"
"2001 DEC","62.8"
"2002 JAN","62.8"
"2002 FEB","62.8"
"2002 MAR","62.9"
"2002 APR","62.9"
"2002 MAY","63.0"
"2002 JUN","62.9"
"2002 JUL","63.0"
"2002 AUG","63.0"
"2002 SEP","63.1"
"2002 OCT","63.1"
"2002 NOV","63.1"
"2002 DEC","62.9"
"2003 JAN","62.9"
"2003 FEB","63.0"
"2003 MAR","63.0"
"2003 APR","63.1"
"2003 MAY","63.0"
"2003 JUN","63.1"
"2003 JUL","63.1"
"2003 AUG","63.1"
"2003 SEP","63.0"
"2003 OCT","63.0"
"2003 NOV","63.0"
"2003 DEC","63.1"
"2004 JAN","63.1"
"2004 FEB","63.1"
"2004 MAR","63.1"
"2004 APR","63.0"
"2004 MAY","63.0"
"2004 JUN","62.9"
"2004 JUL","62.9"
"2004 AUG","62.9"
"2004 SEP","62.9"
"2004 OCT","63.0"
"2004 NOV","63.1"
"2004 DEC","63.2"
"2005 JAN","63.3"
"2005 FEB","63.2"
"2005 MAR","63.1"
"2005 APR","63.1"
"2005 MAY","63.1"
"2005 JUN","63.1"
"2005 JUL","63.2"
"2005 AUG","63.2"
"2005 SEP","63.3"
"2005 OCT","63.2"
"2005 NOV","63.2"
"2005 DEC","63.3"
"2006 JAN","63.4"
"2006 FEB","63.5"
"2006 MAR","63.6"
"2006 APR","63.6"
"2006 MAY","63.7"
"2006 JUN","63.7"
"2006 JUL","63.8"
"2006 AUG","63.7"
"2006 SEP","63.6"
"2006 OCT","63.6"
"2006 NOV","63.6"
"2006 DEC","63.5"
"2007 JAN","63.4"
"2007 FEB","63.4"
"2007 MAR","63.4"
"2007 APR","63.5"
"2007 MAY","63.4"
"2007 JUN","63.4"
"2007 JUL","63.4"
"2007 AUG","63.5"
"2007 SEP","63.5"
"2007 OCT","63.5"
"2007 NOV","63.5"
"2007 DEC","63.6"
"2008 JAN","63.7"
"2008 FEB","63.6"
"2008 MAR","63.7"
"2008 APR","63.7"
"2008 MAY","63.7"
"2008 JUN","63.7"
"2008 JUL","63.6"
"2008 AUG","63.6"
"2008 SEP","63.5"
"2008 OCT","63.6"
"2008 NOV","63.7"
"2008 DEC","63.8"
"2009 JAN","63.6"
"2009 FEB","63.7"
"2009 MAR","63.6"
"2009 APR","63.5"
"2009 MAY","63.4"
"2009 JUN","63.3"
"2009 JUL","63.4"
"2009 AUG","63.3"
"2009 SEP","63.3"
"2009 OCT","63.2"
"2009 NOV","63.2"
"2009 DEC","63.0"
"2010 JAN","63.0"
"2010 FEB","63.0"
"2010 MAR","63.0"
"2010 APR","63.2"
"2010 MAY","63.2"
"2010 JUN","63.4"
"2010 JUL","63.3"
"2010 AUG","63.4"
"2010 SEP","63.3"
"2010 OCT","63.1"
"2010 NOV","63.2"
"2010 DEC","63.3"
"2011 JAN","63.3"
"2011 FEB","63.2"
"2011 MAR","63.1"
"2011 APR","63.2"
"2011 MAY","63.2"
"2011 JUN","63.0"
"2011 JUL","63.0"
"2011 AUG","63.0"
"2011 SEP","63.0"
"2011 OCT","63.1"
"2011 NOV","63.1"
"2011 DEC","63.0"
"2012 JAN","63.0"
"2012 FEB","63.1"
"2012 MAR","63.1"
"2012 APR","63.2"
"2012 MAY","63.3"
"2012 JUN","63.5"
"2012 JUL","63.4"
"2012 AUG","63.3"
"2012 SEP","63.2"
"2012 OCT","63.4"
"2012 NOV","63.5"
"2012 DEC","63.4"
"2013 JAN","63.3"
"2013 FEB","63.3"
"2013 MAR","63.3"
"2013 APR","63.2"
"2013 MAY","63.3"
"2013 JUN","63.4"
"2013 JUL","63.4"
"2013 AUG","63.5"
"2013 SEP","63.5"
"2013 OCT","63.5"
"2013 NOV","63.5"
"2013 DEC","63.5"
"2014 JAN","63.6"
"2014 FEB","63.5"
"2014 MAR","63.6"
"2014 APR","63.7"
"2014 MAY","63.5"
"2014 JUN","63.3"
"2014 JUL","63.4"
"2014 AUG","63.4"
"2014 SEP","63.4"
"2014 OCT","63.3"
"2014 NOV","63.3"
"2014 DEC","63.4"
"2015 JAN","63.5"
"2015 FEB","63.5"
"2015 MAR","63.4"
"2015 APR","63.3"
"2015 MAY","63.3"
"2015 JUN","63.4"
"2015 JUL","63.3"
"2015 AUG","63.5"
"2015 SEP","63.5"
"2015 OCT","63.6"
"2015 NOV","63.6"
"2015 DEC","63.6"
"2016 JAN","63.6"
"2016 FEB","63.5"
"2016 MAR","63.5"
"2016 APR","63.7"
"2016 MAY","63.7"
"2016 JUN","63.7"
"2016 JUL","63.8"
"2016 AUG","63.7"
"2016 SEP","63.6"
"2016 OCT","63.6"
"2016 NOV","63.6"
"2016 DEC","63.5"
"2017 JAN","63.5"
"2017 FEB","63.6"
"2017 MAR","63.6"
"2017 APR","63.6"
"2017 MAY","63.6"
"2017 JUN","63.7"
"2017 JUL","63.6"
"2017 AUG","63.4"
"2017 SEP","63.5"
"2017 OCT","63.7"
"2017 NOV","63.6"
"2017 DEC","63.7"
"2018 JAN","63.7"
"2018 FEB","63.8"
"2018 MAR","63.8"
"2018 APR","63.8"
"2018 MAY","63.7"
"2018 JUN","63.7"
"2018 JUL","63.7"
"2018 AUG","63.7"
"2018 SEP","63.8"
"2018 OCT","63.8"
"2018 NOV","63.9"
"2018 DEC","64.1"
"2019 JAN","64.0"
"2019 FEB","63.9"
"2019 MAR","64.0"
"2019 APR","63.9"
"2019 MAY","64.1"
"2019 JUN","63.9"
"2019 JUL","63.8"
"2019 AUG","63.8"
"2019 SEP","63.9"
"2019 OCT","64.1"
"2019 NOV","64.1"
"2019 DEC","64.2"
"2020 JAN","64.4"
"2020 FEB","64.3"
"2020 MAR","63.9"
"2020 APR","63.8"
"2020 MAY","63.6"
"2020 JUN","63.6"
"2020 JUL","63.6"
"2020 AUG","63.5"
"2020 SEP","63.6"
"2020 OCT","63.6"
"2020 NOV","63.4"
"2020 DEC","63.3"
"2021 JAN","63.3"
"2021 FEB","63.2"
"2021 MAR","63.1"
"2021 APR","63.1"
"2021 MAY","63.3"
"2021 JUN","63.3"
"2021 JUL","63.3"
"2021 AUG","63.4"
"2021 SEP","63.3"
"2021 OCT","63.2"
"2021 NOV","63.2"
"2021 DEC","63.1"
"2022 JAN","63.0"
"2022 FEB","63.1"
