#week_ending,migrants_arrived,boats_arrived,migrants_prevented,events_prevented
"2018-01-07",0,0,0,0
"2018-01-14",0,0,0,0
"2018-01-21",0,0,0,0
"2018-01-28",0,0,0,0
"2018-02-04",7,1,0,0
"2018-02-11",0,0,0,0
"2018-02-18",0,0,0,0
"2018-02-25",0,0,0,0
"2018-03-04",0,0,0,0
"2018-03-11",0,0,0,0
"2018-03-18",0,0,0,0
"2018-03-25",0,0,0,0
"2018-04-01",0,0,0,0
"2018-04-08",0,0,0,0
"2018-04-15",0,0,0,0
"2018-04-22",0,0,0,0
"2018-04-29",0,0,0,0
"2018-05-06",0,0,0,0
"2018-05-13",0,0,0,0
"2018-05-20",0,0,0,0
"2018-05-27",0,0,0,0
"2018-06-03",0,0,0,0
"2018-06-10",0,0,0,0
"2018-06-17",4,1,0,0
"2018-06-24",0,0,0,0
"2018-07-01",0,0,0,0
"2018-07-08",0,0,0,0
"2018-07-15",0,0,0,0
"2018-07-22",0,0,0,0
"2018-07-29",0,0,0,0
"2018-08-05",4,1,0,0
"2018-08-12",4,1,0,0
"2018-08-19",0,0,0,0
"2018-08-26",2,1,0,0
"2018-09-02",7,2,0,0
"2018-09-09",0,0,0,0
"2018-09-16",0,0,0,0
"2018-09-23",0,0,0,0
"2018-09-30",0,0,0,0
"2018-10-07",0,0,0,0
"2018-10-14",0,0,0,0
"2018-10-21",17,3,0,0
"2018-10-28",6,1,0,0
"2018-11-04",15,2,0,0
"2018-11-11",7,1,0,0
"2018-11-18",57,6,0,0
"2018-11-25",22,3,0,0
"2018-12-02",9,1,0,0
"2018-12-09",6,2,0,0
"2018-12-16",31,4,0,0
"2018-12-23",0,0,0,0
"2018-12-30",89,12,0,0
"2019-01-06",12,1,0,0
"2019-01-13",8,1,0,0
"2019-01-20",29,3,0,0
"2019-01-27",8,1,0,0
"2019-02-03",0,0,0,0
"2019-02-10",0,0,0,0
"2019-02-17",10,2,0,0
"2019-02-24",41,2,0,0
"2019-03-03",37,4,0,0
"2019-03-10",0,0,0,0
"2019-03-17",0,0,0,0
"2019-03-24",24,3,0,0
"2019-03-31",42,4,0,0
"2019-04-07",8,1,0,0
"2019-04-14",0,0,0,0
